panel,gender,row_order,section,row_in_section,system,label,label_display,baseline_auc,gait_auc,delta_auc_printed,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_positive,n_in_panel_title,description,seed_0_baseline_auc,seed_0_gait_auc,seed_1_baseline_auc,seed_1_gait_auc,seed_2_baseline_auc,seed_2_gait_auc,seed_3_baseline_auc,seed_3_gait_auc,seed_4_baseline_auc,seed_4_gait_auc,seed_5_baseline_auc,seed_5_gait_auc,seed_6_baseline_auc,seed_6_gait_auc,seed_7_baseline_auc,seed_7_gait_auc,seed_8_baseline_auc,seed_8_gait_auc,seed_9_baseline_auc,seed_9_gait_auc
a,male,1,MEDICAL CONDITIONS,1,medical_conditions,Anal Fissure,Anal Fissure,0.4132758497572122,0.5379862896315338,0.12471043987432162,,0.0009765625,0.0055338541666666,10,88,1607,Anal fissure diagnosis - a small tear in the tissue lining the anus causing pain and bleeding,0.4511818051985147,0.5084475864038847,0.4056555269922879,0.5434875749785776,0.4067052270779777,0.556962296486718,0.4166595258497572,0.5216795201371037,0.379684375892602,0.5175735504141674,0.3834404455869751,0.5290988289060269,0.4102256498143388,0.5591045415595544,0.4577406455298486,0.5371679520137104,0.4194087403598971,0.5652813481862324,0.4020565552699228,0.541059697229363
a,male,2,MEDICAL CONDITIONS,2,medical_conditions,Diabetes,Diabetes,0.4685045379537954,0.5778382838283829,0.1093337458745875,,0.0009765625,0.0055338541666666,10,30,1607,"Presence or absence of diabetes mellitus, a metabolic disorder affecting blood glucose regulation",0.4789603960396039,0.5976072607260726,0.5021039603960397,0.565243399339934,0.4842409240924092,0.583910891089109,0.4600041254125413,0.5764438943894389,0.4962871287128713,0.5869430693069307,0.4611798679867986,0.5906559405940595,0.4724009900990099,0.5779909240924092,0.4041254125412541,0.554496699669967,0.4828795379537953,0.598927392739274,0.4428630363036304,0.5461633663366336
a,male,3,MEDICAL CONDITIONS,3,medical_conditions,Depression,Depression,0.537000311332503,0.6418493150684932,0.10484900373599015,,0.0009765625,0.0055338541666666,10,40,1607,"Major depressive disorder diagnosis - a mental health condition characterized by persistent depressed mood, loss of interest, and neurobiological changes",0.5452677459526775,0.6517901618929016,0.5268835616438357,0.6320672478206725,0.5480386052303861,0.6318648816936487,0.5369240348692403,0.6468866749688668,0.5306818181818183,0.6398972602739728,0.5461394769613948,0.6223225404732254,0.5364570361145704,0.6068181818181817,0.5232409713574098,0.6655354919053549,0.5318026151930262,0.6428549190535492,0.5445672478206725,0.678455790784558
a,male,4,MEDICAL CONDITIONS,4,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0.4857825261766147,0.5472714477640587,0.061488921587443957,,0.001953125,0.0086616847826086,10,28,1607,"Binary diagnosis flag for Peptic Ulcer Disease, erosion of GI tract lining",0.5320623547224532,0.5772503358710255,0.4667434371867869,0.5387371249440215,0.5363060584735462,0.5340242680144158,0.4555264111914358,0.4810526091314269,0.4640991192715331,0.6259356407139659,0.5003945151728403,0.5561384428379502,0.4520504126415455,0.5735397607318788,0.5209093041605357,0.5486533171262236,0.4914806047810974,0.5164949992536199,0.4382530441643742,0.5208879790160579
a,male,5,MEDICAL CONDITIONS,5,medical_conditions,Insomnia,Insomnia,0.4704465696911248,0.5290792681293365,0.05863269843821167,,0.009765625,0.0355747767857142,10,23,1607,Insomnia diagnosis - sleep disorder characterized by persistent difficulty falling or staying asleep,0.4778858260333789,0.5598328377400948,0.4418816469768812,0.5191406145356158,0.4571512764874494,0.4748319001312652,0.4230491039138471,0.5268557957620081,0.4649736130086528,0.5409735058533579,0.5457687052961504,0.6210185110771786,0.4749390554260762,0.5494387741434273,0.5218462857295936,0.4802432425192209,0.4267727504085295,0.5707894666345201,0.4701974336306892,0.4476680328966755
a,male,6,MEDICAL CONDITIONS,6,medical_conditions,Sinusitis,Sinusitis,0.5080207615944099,0.5644785245158148,0.05645776292140492,,0.0009765625,0.0055338541666666,10,37,1607,"Presence or absence of sinusitis, inflammation of the tissues in the sinuses causing facial pain, nasal congestion, and other symptoms",0.5211563334621134,0.545411788419868,0.5065425898241311,0.5808207212806343,0.5146893319671443,0.5663581543009759,0.4949859741655887,0.5970806107536997,0.4980766969579897,0.5422202811885845,0.5165706414929535,0.521593066030605,0.4919792384055902,0.5603110879680178,0.5047620647372046,0.5637377588900274,0.5291854937597635,0.5936707372381704,0.5022592511716191,0.5735810390875649
a,male,7,MEDICAL CONDITIONS,7,medical_conditions,Back Pain,Back Pain,0.5545910163148859,0.5771334708345169,0.022542454519630994,,0.0009765625,0.0055338541666666,10,295,1607,"Back pain diagnosis - musculoskeletal pain in the lumbar, thoracic, or cervical spine regions",0.5512652990650743,0.5699119416072818,0.5504600526127283,0.5751509837098149,0.5536365769615532,0.5720189208215489,0.5633464659314058,0.5732589015549162,0.561679161160444,0.6060838098531537,0.5503439587990466,0.5773987575491855,0.5443144907310206,0.5753189492274822,0.561036940063481,0.5846484457014414,0.5630574664377725,0.5645222245550766,0.5467697513863331,0.5730217737652682
a,male,8,MEDICATIONS,1,medications,ADRENERGICSINHALANTS,Adrenergic Inhalants,0.4109896839229356,0.5530547835508031,0.14206509962786745,,0.0009765625,0.0055338541666666,10,13,1607,Medication use indicator for adrenergic inhalant medications (used for bronchospasm and respiratory conditions),0.4528239672146592,0.546092609166706,0.3459418719675916,0.56597107729992,0.4685571623722266,0.6021008997126571,0.356729002779217,0.4931932733524895,0.4102407084648358,0.5045927740355174,0.3918225069480428,0.5846248056903293,0.4541900230816336,0.6208959442272364,0.3830138018747939,0.5629092279429083,0.4312026002166847,0.560648169956192,0.4153751943096707,0.4895190541240755
a,male,9,MEDICATIONS,2,medications,ANTIDEPRESSANTS,Antidepressants,0.5052640504436171,0.5900800900338398,0.08481603959022266,,0.0009765625,0.0055338541666666,10,82,1607,Medication use indicator for antidepressant medications (used to treat depression and related psychiatric conditions),0.5091999475830385,0.5776272074863755,0.5005819824403179,0.5906158222139999,0.478613108865404,0.592542916387238,0.5252950381179228,0.590438529550062,0.5079203570520083,0.6034117275243006,0.5250021198035906,0.5649238026963902,0.4783510240578437,0.5981700313730932,0.4765318471583068,0.6025715144647689,0.5139714327559759,0.5879024736180807,0.5371736466017621,0.5925968750240886
a,male,10,MEDICATIONS,3,medications,ANTIHISTAMINESFORSYSTEMICUSE,Antihistamines,0.5828518907563026,0.6615546218487395,0.07870273109243686,,0.0009765625,0.0055338541666666,10,14,1607,Medication use indicator for systemic antihistamine medications (used to treat allergies and related conditions),0.5747986694677871,0.633797268907563,0.6201418067226891,0.6972163865546218,0.5709908963585434,0.6558998599439776,0.5799632352941178,0.6376050420168067,0.5976453081232493,0.6368609943977591,0.620579481792717,0.6807598039215687,0.6046481092436975,0.7147671568627452,0.5206144957983194,0.5717349439775911,0.5808823529411765,0.7211134453781513,0.5582545518207283,0.6657913165266106
